,original_index,af3_seed,af3_sample,ptm,iptm,chain_ptm_A,chain_pair_iptm_A_B,chain_pair_iptm_A_M,chain_pair_iptm_A_P,chain_ptm_B,chain_pair_iptm_B_M,chain_pair_iptm_B_P,chain_ptm_M,chain_pair_iptm_M_P,chain_ptm_P,avg_plddt,avg_pae,avg_pae_A,min_pae_A,max_pae_A,avg_plddt_A,min_plddt_A,max_plddt_A,avg_pae_interaction_A_B,min_pae_interaction_A_B,max_pae_interaction_A_B,avg_contact_probs_A_B,min_contact_probs_A_B,max_contact_probs_A_B,avg_pae_interaction_A_M,min_pae_interaction_A_M,max_pae_interaction_A_M,avg_contact_probs_A_M,min_contact_probs_A_M,max_contact_probs_A_M,avg_pae_interaction_A_P,min_pae_interaction_A_P,max_pae_interaction_A_P,avg_contact_probs_A_P,min_contact_probs_A_P,max_contact_probs_A_P,avg_pae_B,min_pae_B,max_pae_B,avg_plddt_B,min_plddt_B,max_plddt_B,avg_pae_interaction_B_M,min_pae_interaction_B_M,max_pae_interaction_B_M,avg_contact_probs_B_M,min_contact_probs_B_M,max_contact_probs_B_M,avg_pae_interaction_B_P,min_pae_interaction_B_P,max_pae_interaction_B_P,avg_contact_probs_B_P,min_contact_probs_B_P,max_contact_probs_B_P,avg_pae_M,min_pae_M,max_pae_M,avg_plddt_M,min_plddt_M,max_plddt_M,avg_pae_interaction_M_P,min_pae_interaction_M_P,max_pae_interaction_M_P,avg_contact_probs_M_P,min_contact_probs_M_P,max_contact_probs_M_P,avg_pae_P,min_pae_P,max_pae_P,avg_plddt_P,min_plddt_P,max_plddt_P,af3_ranking
44,2,1,4,0.63,0.56,0.67,0.74,0.38,0.53,0.72,0.4,0.55,0.54,0.95,0.03,78.95226336340379,18.694018012754118,13.284493284493283,0.8,31.7,76.6120075578649,17.94,97.37,13.091135652026741,1.4,31.7,0.0026355492692126357,0.0,1.0,24.107259223281325,5.9,31.7,0.000287070204197276,0.0,0.69,17.67769637769638,5.4,31.5,0.0030525030525030525,0.0,0.54,10.84744088270213,0.8,31.7,82.92655391120508,17.17,97.81,23.742822693871595,5.9,31.7,0.00017039549258793284,0.0,0.74,16.932233223322335,5.4,31.6,0.0037037037037037034,0.0,0.7,18.060046244009644,0.8,31.7,77.35415159944367,9.97,98.34,14.397759361571516,1.1,31.7,0.014794352363413135,0.0,1.0,2.074074074074074,0.8,5.5,81.14492753623189,56.74,93.13,0.6857172935719515
45,2,2,0,0.66,0.6,0.68,0.75,0.46,0.64,0.73,0.47,0.65,0.54,0.95,0.03,79.68181499932678,18.060212486716797,12.630734345020059,0.8,31.7,77.74361832782239,19.46,97.47,12.538251187756137,1.3,31.7,0.0026304718383926306,0.0,1.0,23.171330925060204,4.9,31.7,0.00029668305911399837,0.0,0.8,15.785307285307287,4.3,31.4,0.003166463166463167,0.0,0.75,10.442098269232863,0.8,31.6,83.38145454545455,18.94,97.91,22.739923053078787,4.2,31.7,0.0001493353755265029,0.0,0.87,14.889622295562889,3.6,31.5,0.003560689402273561,0.0,0.78,18.313730502731907,0.8,31.7,77.97080319888734,9.4,98.35,14.581583793738488,1.2,31.7,0.014907918968692452,0.0,1.0,2.0481481481481483,0.8,5.5,83.65840579710147,60.82,94.01,0.7165019312278404
46,2,2,1,0.66,0.6,0.67,0.74,0.48,0.66,0.72,0.48,0.66,0.55,0.94,0.02,79.37671603608456,18.096197183569743,12.96130231185176,0.8,31.7,76.93781294284364,19.38,97.16,12.836426939397237,1.4,31.7,0.0026304718383926306,0.0,1.0,23.10072197599822,4.9,31.7,0.00029668305911399837,0.0,0.8,15.833109483109483,4.3,31.4,0.003166463166463167,0.0,0.75,10.648169569432193,0.8,31.6,83.08633826638479,18.38,97.73,22.64809273745054,4.2,31.7,0.0001493353755265029,0.0,0.87,14.951430143014301,3.7,31.6,0.003560689402273561,0.0,0.78,18.112637739995726,0.8,31.7,78.02115438108486,9.23,98.34,14.467863720073664,1.2,31.7,0.014907918968692452,0.0,1.0,2.14320987654321,0.8,5.8,83.55782608695654,62.27,93.71,0.7188571688733482
47,2,2,2,0.66,0.6,0.68,0.75,0.48,0.66,0.73,0.5,0.68,0.55,0.95,0.03,79.714704456712,17.962327652822403,12.777035784728094,0.8,31.7,77.45264525271611,18.88,97.28,12.664289341022016,1.4,31.7,0.0026304718383926306,0.0,1.0,22.966215368425317,4.8,31.7,0.00029668305911399837,0.0,0.8,15.578225478225479,4.2,31.4,0.003166463166463167,0.0,0.75,10.52183010380246,0.8,31.6,83.37907822410148,18.71,97.8,22.478346370548657,4.0,31.7,0.0001493353755265029,0.0,0.87,14.643124312431244,3.6,31.5,0.003560689402273561,0.0,0.78,18.115807667653613,0.8,31.7,78.25960709318498,9.12,98.37,14.483578882750153,1.2,31.7,0.014907918968692452,0.0,1.0,2.0728395061728397,0.8,5.4,84.16971014492754,62.75,94.32,0.7268241037114379
48,2,2,3,0.65,0.59,0.68,0.74,0.45,0.63,0.73,0.47,0.64,0.55,0.95,0.02,79.53345496162649,18.154752461226416,12.865025694696023,0.8,31.7,77.26153519130845,19.26,97.28,12.754916041054656,1.4,31.7,0.0026304718383926306,0.0,1.0,23.2889861979641,5.0,31.7,0.00029668305911399837,0.0,0.8,16.06823361823362,4.6,31.4,0.003166463166463167,0.0,0.75,10.634929037458202,0.8,31.7,83.26550528541227,18.08,97.78,22.808827015298217,4.4,31.7,0.0001493353755265029,0.0,0.87,15.155023835716904,4.0,31.6,0.003560689402273561,0.0,0.78,18.110777296175332,0.8,31.7,78.04365090403338,9.11,98.34,14.452348066298342,1.2,31.7,0.014907918968692452,0.0,1.0,2.1012345679012348,0.8,5.7,83.41797101449276,61.16,93.78,0.7123783872784764
49,2,2,4,0.66,0.59,0.68,0.75,0.45,0.64,0.73,0.47,0.64,0.55,0.95,0.03,79.58420358152688,18.09430937914316,12.76624535415744,0.8,31.7,77.30863958431743,19.63,97.3,12.60894836736421,1.3,31.7,0.0026304718383926306,0.0,1.0,23.27992582923522,5.0,31.7,0.00029668305911399837,0.0,0.8,16.022730972730972,4.5,31.5,0.003166463166463167,0.0,0.75,10.469483383981963,0.8,31.6,83.40079492600422,18.22,97.79,22.77754544791496,4.5,31.7,0.0001493353755265029,0.0,0.87,15.047268060139348,3.9,31.6,0.003560689402273561,0.0,0.78,18.125709685296542,0.8,31.7,78.02484700973575,8.75,98.36,14.452977286678944,1.2,31.7,0.014907918968692452,0.0,1.0,2.071604938271605,0.8,5.5,83.581884057971,61.49,93.94,0.713578271043496
50,2,5,0,0.65,0.58,0.67,0.74,0.44,0.6,0.72,0.45,0.61,0.54,0.95,0.03,79.27511108119025,18.435607805006413,12.997704249352601,0.8,31.7,77.440769957487,19.8,97.46,12.91140548120746,1.3,31.7,0.0026111292447926113,0.0,1.0,23.616331228624045,5.7,31.7,0.00029243316536134217,0.0,0.78,16.803011803011803,4.9,31.4,0.003667073667073667,0.0,0.67,10.804506094173774,0.8,31.7,83.22950951374206,19.48,97.82,23.264702423281,5.3,31.7,0.000171124847291359,0.0,0.68,16.073322332233225,5.2,31.6,0.002647598093142648,0.0,0.58,18.313200146515673,0.8,31.7,77.27869610570237,10.04,98.38,14.55635359116022,1.1,31.7,0.014920196439533453,0.0,1.0,2.069135802469136,0.8,5.5,83.22927536231882,59.68,94.01,0.7057623003131589
51,2,5,1,0.63,0.57,0.67,0.74,0.41,0.57,0.72,0.4,0.56,0.53,0.95,0.03,79.17886764507875,18.725388349135656,12.998274497175593,0.8,31.7,77.37025035427492,20.29,97.39,12.885604274713186,1.4,31.7,0.0026111292447926113,0.0,1.0,24.091850828729285,5.9,31.7,0.00029243316536134217,0.0,0.78,17.42942612942613,5.4,31.4,0.003667073667073667,0.0,0.67,10.797095056040257,0.8,31.6,83.05283298097252,19.26,97.82,23.939937640172857,5.6,31.7,0.000171124847291359,0.0,0.68,16.928199486615327,5.6,31.6,0.002647598093142648,0.0,0.58,18.41887228717072,0.8,31.7,77.2381919332406,9.96,98.38,14.722513812154695,1.1,31.7,0.014920196439533453,0.0,1.0,2.0444444444444447,0.8,5.5,82.77739130434783,59.42,93.96,0.691732161542442
52,2,5,2,0.64,0.58,0.67,0.74,0.42,0.58,0.72,0.42,0.59,0.55,0.95,0.03,79.66550424128181,18.510615080803152,13.141891075957012,0.8,31.7,77.59339631554086,18.89,97.57,12.962544276405662,1.3,31.7,0.0026111292447926113,0.0,1.0,23.797576548681526,5.8,31.7,0.00029243316536134217,0.0,0.78,17.212026862026864,5.3,31.5,0.003667073667073667,0.0,0.67,10.80327854567635,0.8,31.6,83.42250739957716,19.37,97.91,23.521025016866325,5.4,31.7,0.000171124847291359,0.0,0.68,16.58843050971764,5.2,31.6,0.002647598093142648,0.0,0.58,17.956874027044353,0.8,31.7,78.00613004172462,10.06,98.41,14.248971761817067,1.1,31.7,0.014920196439533453,0.0,1.0,2.0444444444444447,0.8,5.7,83.6321739130435,59.59,94.22,0.6984724111524058
53,2,5,3,0.65,0.59,0.67,0.74,0.46,0.61,0.72,0.46,0.61,0.54,0.95,0.03,79.38135721017908,18.355342776444044,13.020131760791102,0.8,31.7,77.44367973547473,19.16,97.48,12.858245989434108,1.3,31.7,0.0026111292447926113,0.0,1.0,23.47146095157145,5.8,31.7,0.00029243316536134217,0.0,0.78,16.54708994708995,5.1,31.4,0.003667073667073667,0.0,0.67,10.712826629197576,0.8,31.6,83.25806342494715,19.47,97.85,23.17500410262021,5.4,31.7,0.000171124847291359,0.0,0.68,15.890355702236889,5.3,31.6,0.002647598093142648,0.0,0.58,18.27230701138549,0.8,31.7,77.50945410292073,9.86,98.38,14.477854511970534,1.1,31.7,0.014920196439533453,0.0,1.0,2.003703703703704,0.8,5.3,83.9791304347826,61.35,94.23,0.7053337029998483
54,2,5,4,0.65,0.59,0.68,0.75,0.44,0.61,0.73,0.46,0.62,0.54,0.95,0.03,79.68384946815674,18.272504178704725,12.844299534409425,0.8,31.7,77.82176192725554,18.82,97.7,12.72064156965147,1.3,31.7,0.0026111292447926113,0.0,1.0,23.46681743670694,5.5,31.7,0.00029243316536134217,0.0,0.78,16.513715913715913,5.0,31.5,0.003667073667073667,0.0,0.67,10.639441666938973,0.8,31.7,83.71018604651162,19.45,98.01,23.08574065970133,5.0,31.7,0.000171124847291359,0.0,0.68,15.748294829482948,5.0,31.6,0.002647598093142648,0.0,0.58,18.194752907420405,0.8,31.7,77.65098748261474,9.43,98.43,14.465239410681399,1.1,31.7,0.014920196439533453,0.0,1.0,2.0074074074074075,0.8,5.5,83.5427536231884,61.47,93.88,0.7113244607691398
55,2,10,0,0.67,0.61,0.68,0.74,0.47,0.64,0.73,0.5,0.7,0.56,0.95,0.03,79.70311161976572,17.57298209540716,12.602207194514888,0.8,31.7,77.54244213509683,18.05,97.35,12.544058801484542,1.4,31.7,0.002627449558142627,0.0,1.0,22.54452472021533,4.2,31.7,0.00027411814704632385,0.0,0.79,15.515099715099714,4.0,31.5,0.0024501424501424504,0.0,0.57,10.405501639272838,0.8,31.6,83.58925581395349,17.28,97.82,21.920721878817716,2.8,31.7,0.00017085133927757418,0.0,0.91,14.416061606160618,2.9,31.6,0.0045141180784745135,0.0,0.87,17.392784103049358,0.8,31.7,78.01337621696803,10.34,98.24,13.931184775936156,1.2,31.7,0.014861878453038675,0.0,1.0,2.109876543209877,0.8,5.7,83.22608695652173,60.53,93.51,0.7251102841885209
56,2,10,1,0.67,0.6,0.68,0.74,0.47,0.63,0.72,0.5,0.71,0.56,0.95,0.03,80.03906018580854,17.548948326789763,12.573404983295093,0.8,31.7,77.74099669343411,18.47,97.52,12.522933062537023,1.4,31.7,0.002627449558142627,0.0,1.0,22.542367899135854,4.1,31.7,0.00027411814704632385,0.0,0.79,15.455128205128204,4.1,31.5,0.0024501424501424504,0.0,0.57,10.43347057478025,0.8,31.6,83.86064270613107,18.29,97.94,21.906116095034918,2.7,31.7,0.00017085133927757418,0.0,0.91,14.323395672900624,2.8,31.6,0.0045141180784745135,0.0,0.87,17.287904825860018,0.8,31.7,78.50355702364395,10.16,98.27,13.8847605893186,1.2,31.7,0.014861878453038675,0.0,1.0,2.071604938271605,0.8,5.5,83.56173913043477,60.77,93.61,0.7256902051275776
57,2,10,2,0.67,0.61,0.68,0.74,0.47,0.64,0.73,0.5,0.7,0.56,0.95,0.02,79.94843005251111,17.557872746593755,12.625178118584712,0.8,31.7,77.70093528578177,18.28,97.46,12.55048054255975,1.4,31.7,0.002627449558142627,0.0,1.0,22.524986339627226,4.2,31.7,0.00027411814704632385,0.0,0.79,15.527411477411476,4.0,31.5,0.0024501424501424504,0.0,0.57,10.419646222047946,0.8,31.6,83.79150528541227,17.55,97.91,21.892597961453603,2.8,31.7,0.00017085133927757418,0.0,0.91,14.41754675467547,2.9,31.6,0.0045141180784745135,0.0,0.87,17.335289673697385,0.8,31.7,78.36654033379693,9.76,98.3,13.911510128913445,1.2,31.7,0.014861878453038675,0.0,1.0,2.1358024691358026,0.8,5.8,83.11637681159421,60.08,93.17,0.7263743384495117
58,2,10,3,0.67,0.6,0.68,0.74,0.44,0.61,0.73,0.47,0.67,0.57,0.95,0.03,80.06850276019928,17.607825077580618,12.509639200847992,0.8,31.7,77.84397260273973,18.48,97.52,12.431753889674681,1.3,31.7,0.002627449558142627,0.0,1.0,22.764651508712284,4.3,31.7,0.00027411814704632385,0.0,0.79,15.815954415954415,4.1,31.5,0.0024501424501424504,0.0,0.57,10.31445936672875,0.8,31.6,83.86050317124736,16.23,97.96,22.144163794832522,3.0,31.7,0.00017085133927757418,0.0,0.91,14.757425742574258,3.1,31.6,0.0045141180784745135,0.0,0.87,17.168718140471903,0.8,31.7,78.51921418636996,10.16,98.31,13.713842848373234,1.2,31.7,0.014861878453038675,0.0,1.0,2.080246913580247,0.8,5.5,82.92362318840578,59.67,93.55,0.7197482085872389
59,2,10,4,0.67,0.6,0.68,0.74,0.45,0.65,0.73,0.51,0.74,0.56,0.95,0.03,79.9114406893766,17.602827134874875,12.44088341450979,0.8,31.7,77.74112895606991,18.97,97.5,12.369930729336671,1.3,31.7,0.002627449558142627,0.0,1.0,22.744336004695118,4.0,31.7,0.00027411814704632385,0.0,0.79,15.546845746845747,3.8,31.6,0.0024501424501424504,0.0,0.57,10.249221753858555,0.8,31.6,84.03867653276954,17.52,97.96,21.956105154714365,2.6,31.7,0.00017085133927757418,0.0,0.91,14.1999633296663,2.5,31.6,0.0045141180784745135,0.0,0.87,17.65622920545771,0.8,31.7,78.01371696801112,9.91,98.37,14.11378146101903,1.2,31.7,0.014861878453038675,0.0,1.0,2.0925925925925926,0.8,5.7,84.13594202898551,59.75,93.32,0.7292651227603071
60,3,1,0,0.64,0.58,0.68,0.75,0.4,0.53,0.73,0.4,0.54,0.54,0.87,0.02,79.102029316837,18.584791544268192,12.994298863529634,0.8,31.7,77.50409541804441,18.82,97.89,12.787340876944837,1.3,31.7,0.002626603319672627,0.0,1.0,24.034947281079873,6.0,31.7,0.0002902070305385223,0.0,0.75,19.122252747252748,6.2,31.4,0.004080586080586081,0.0,0.53,10.606586500234181,0.8,31.6,83.80901902748415,19.17,98.18,23.704695220903304,5.6,31.7,0.00016939262987072186,0.0,0.65,18.43082508250825,6.1,31.5,0.003808580858085809,0.0,0.67,17.994578156954915,0.8,31.7,76.63096314325452,9.58,97.88,16.457776243093925,1.3,31.7,0.013339779005524861,0.0,0.99,4.463000000000001,0.8,12.7,70.86589743589744,38.36,90.22,0.6965346272024935
61,3,1,1,0.64,0.58,0.68,0.75,0.41,0.54,0.73,0.42,0.53,0.54,0.87,0.02,78.6770212479828,18.604674620342177,12.975790631834588,0.8,31.7,77.62571091166745,17.32,97.9,12.765782347465516,1.3,31.7,0.002626603319672627,0.0,1.0,23.98383977900552,5.9,31.7,0.0002902070305385223,0.0,0.75,19.024395604395608,6.2,31.5,0.004080586080586081,0.0,0.53,10.594612728599591,0.8,31.6,83.89767864693447,18.61,98.23,23.652746476305087,5.7,31.7,0.00016939262987072186,0.0,0.65,18.32559405940594,6.0,31.5,0.003808580858085809,0.0,0.67,18.345228320258844,0.8,31.7,75.36792420027817,9.95,97.91,16.545662983425412,1.3,31.7,0.013339779005524861,0.0,0.99,4.433,0.8,12.3,70.93,39.01,90.12,0.7003014141303017
62,3,1,2,0.64,0.58,0.68,0.75,0.43,0.56,0.73,0.43,0.56,0.55,0.89,0.02,79.38169849381389,18.39603695988891,13.058394718834279,0.8,31.7,77.62343882853094,19.49,97.94,12.879358430348532,1.3,31.7,0.002626603319672627,0.0,1.0,23.668086333555944,5.9,31.7,0.0002902070305385223,0.0,0.75,18.246080586080588,6.1,31.5,0.004080586080586081,0.0,0.53,10.7417595224869,0.8,31.6,83.66604651162791,19.13,98.19,23.364121218751706,5.7,31.7,0.00016939262987072186,0.0,0.65,17.603201320132012,5.5,31.5,0.003808580858085809,0.0,0.67,17.702219101981015,0.8,31.7,77.29326147426981,9.31,98.0,15.542403314917127,1.3,31.7,0.013339779005524861,0.0,0.99,3.632000000000001,0.8,9.3,74.20346153846153,48.08,91.68,0.6988501863543113
