,n_structures,auc_best_mean,auc_last_mean,auc_random_mean,auc_mean_mean,auc_best_SD,auc_last_SD,auc_random_SD,auc_mean_SD,auc_best_SEM,auc_last_SEM,auc_random_SEM,auc_mean_SEM
10,11,0.7717525081970364,0.7755017502394371,0.7679888984619195,0.7887750625707747,0.012699657009837918,0.011922502589662721,0.015353129576485082,0.01565931891189228,0.004015984165401121,0.003770226359259007,0.004855085867338918,0.0049519114368529165
11,12,0.7717694615744602,0.7738522964821591,0.765349662414021,0.7901947157853797,0.013975428596983619,0.01142396176735223,0.015703510824598126,0.015197091980664157,0.0044194185643519615,0.003612573908751563,0.004965886146683898,0.0048057424469978285
12,13,0.77158507629182,0.7735418205673822,0.7708939552504229,0.7910937346425596,0.014467947539934075,0.012300739870491559,0.013798316052100133,0.015081098101681144,0.004575166729402159,0.0038898354895997938,0.004363410659949899,0.004769061961775403
13,14,0.7717384547023223,0.7714976410956488,0.7697548581641773,0.7915559639422506,0.014393226906223064,0.010579770243720985,0.015111375360504588,0.014809547758518057,0.004551537990328363,0.0033456171091433037,0.004778636471694254,0.004683190203395834
14,15,0.771149219327034,0.7702159029576728,0.7715884590465598,0.7917645821816034,0.014921525804893943,0.012481007531784946,0.017021318165930607,0.014686023983554296,0.00471860077084421,0.003946841129415682,0.0053826134182740565,0.004644128555989078
15,16,0.7697932066348928,0.7726844778874132,0.7647493256752997,0.7926149177023036,0.016051234667875267,0.013802921262193898,0.016926954346029584,0.014609301356929264,0.005075846080834217,0.004364866955249889,0.005352772958313941,0.0046198667311685
16,17,0.7706450423828823,0.7739162075432044,0.7682582441958055,0.7933206762050482,0.015294172417546187,0.01241946196150903,0.012784048496743472,0.014542259919306195,0.004836441976676971,0.003927378711219096,0.004042671096776103,0.0045986663671183994
17,18,0.7711397760953279,0.7742757436986839,0.7719984744940428,0.793864451720541,0.015443178128715134,0.013014847383460057,0.013223479634418955,0.014626712717609309,0.004883561719843678,0.004115656113121662,0.004181631423761459,0.004625372686859664
18,19,0.7716349161269667,0.7746874073093469,0.768799058852327,0.7945702248732748,0.014233748892895682,0.01291978070257574,0.012499988489967454,0.014487348245811474,0.004501106614445041,0.0040855933890029785,0.003952843435418595,0.004581301771280918
19,20,0.7723280028565597,0.777530657651282,0.774209051586467,0.7949579837669642,0.014486351586120699,0.013898260719451702,0.015384001340361834,0.014562281917732359,0.004580986599813425,0.004395015938831783,0.004864848376262663,0.004604997878951898
20,21,0.7719173656152711,0.7726967030861647,0.7690619238483208,0.7954576544686004,0.013948719031700153,0.013314763363407664,0.017144278533590566,0.014031479958205804,0.00441097225819109,0.004210497873453244,0.005421496900647775,0.004437143561093456
21,22,0.7718655721708444,0.7752853130607585,0.7706617732660667,0.7960972977221303,0.013708258291858557,0.013135217743637087,0.011322985100791874,0.013885445037529916,0.004334931895616226,0.004153720563215086,0.0035806422830653543,0.004390963264367674
22,23,0.7717158329438876,0.771268035774056,0.7675308438740112,0.7962879375884782,0.013334331392008212,0.015072557804401268,0.012653806150324432,0.013722857260198756,0.004216685827422949,0.004766361282645468,0.0040014848505272186,0.0043395484947605974
23,24,0.772531490346951,0.7733633814378749,0.7725438722939811,0.7964862479517685,0.013136480278392699,0.01440761402646118,0.011804276893452311,0.013795103766328243,0.004154119811760372,0.004556087597220678,0.0037328401114606036,0.004362394845996447
24,25,0.7726136832661761,0.7756246364457329,0.767516287158975,0.7961912505911044,0.013429239017783428,0.01581662002191675,0.011899522909253595,0.014217402634138544,0.0042466982538998084,0.005001654415467923,0.0037629595462594484,0.004495937473555539
25,26,0.7726194435316046,0.7716149140298152,0.773292610880835,0.7966660743314897,0.012954133155002906,0.016594432239554195,0.012460629189458384,0.014248542553075963,0.004096456588291221,0.005247620235432016,0.0039403969317466266,0.004505784780555064
26,27,0.7720520919038274,0.765486615323349,0.7699580885084532,0.7965186481928794,0.01312719616001369,0.01690607545420706,0.015866506218418217,0.01455698433636687,0.004151183915745943,0.005346170472995997,0.005017429815942659,0.004603322636631397
27,28,0.7721208663908318,0.7686271435320856,0.7695309254773677,0.7964492282282221,0.013776805972995531,0.01821839746167178,0.011012628076454407,0.014713806565022976,0.004356608575687806,0.005761163129711298,0.003482498774591484,0.0046529141796610995
28,29,0.772046938675982,0.7645826770076016,0.7705611956728821,0.7964989412162518,0.01362769774726508,0.0163549743479211,0.014618711480445187,0.014805584526499467,0.004309456414570331,0.00517189700130578,0.004622842473505882,0.0046819369193883895
29,30,0.7713418258158191,0.7639909877472114,0.7695804928881528,0.79627520176791,0.013888554582860408,0.015828931668672972,0.014396299536158829,0.0149592638731069,0.004391946588940863,0.005005547700017632,0.004552509641228746,0.004730534595848985
30,31,0.7714993018259879,0.7730466624859074,0.7702466759124347,0.7966034956801623,0.013200726048677391,0.014967168181413106,0.014733505432741007,0.01495934564482733,0.004174436108173531,0.0047330341576065655,0.004659143508592633,0.00473056045433746
