,tcr_epitope,seed_sample,overall_rmsd,chain_0_rmsd,chain_0_0_aligned_rmsd,chain_0_1_aligned_rmsd,chain_0_2_aligned_rmsd,chain_0_3_aligned_rmsd,chain_1_rmsd,chain_1_0_aligned_rmsd,chain_1_1_aligned_rmsd,chain_1_2_aligned_rmsd,chain_1_3_aligned_rmsd,chain_2_rmsd,chain_2_0_aligned_rmsd,chain_2_1_aligned_rmsd,chain_2_2_aligned_rmsd,chain_2_3_aligned_rmsd,chain_3_rmsd,chain_3_0_aligned_rmsd,chain_3_1_aligned_rmsd,chain_3_2_aligned_rmsd,chain_3_3_aligned_rmsd,peptide,Ensemble Pairwise RMSD (Å)
338,row_6333,seed-21_sample-2_seed-42_sample-3,0.886470377445221,0.43697846,0.43710837,0.5957358,1.5117096,1.6276423,0.28370622,0.43944123,0.28443545,1.6307724,1.8665038,0.758538,1.9870671,2.1499238,0.7599944,0.9291118,0.005505057,1.525789,1.6718557,0.46933246,0.0095235985,M5K,0.095235985
339,row_6333,seed-21_sample-2_seed-177_sample-3,0.6223821640014648,0.23056076,0.23058504,0.2940084,0.98160833,1.0084813,0.24914484,0.2866902,0.24953398,1.2414813,1.2470629,0.724639,1.0396278,1.0541949,0.725252,0.806094,0.0041303965,0.52356124,0.4912405,0.29286805,0.008091249,M5K,0.08091249
340,row_6333,seed-21_sample-2_seed-213_sample-4,3.9117531776428223,0.46636295,0.46641243,0.6262195,9.823213,11.090918,0.4204089,0.54105556,0.42137942,9.5822525,11.390492,1.9214541,7.9017673,7.663417,1.925464,3.3472328,0.010747119,3.513511,3.6538105,0.9370255,0.013666177,M5K,0.13666177
341,row_6333,seed-21_sample-2_seed-133_sample-2,0.5035203695297241,0.3748402,0.3749456,0.49549708,0.7237013,0.99419135,0.25727814,0.36246705,0.25789398,0.63979906,1.0332932,0.53930736,0.8730818,0.7853116,0.5400966,1.0336447,0.004281558,0.6920846,0.72315884,0.29193613,0.005327097,M5K,0.05327097
342,row_6333,seed-21_sample-2_seed-1001_sample-1,2.946580410003662,0.73709345,0.737126,0.86129844,4.019792,4.198232,0.20171268,0.6208319,0.20185933,5.901634,3.907868,1.78784,6.409714,6.608757,1.7940305,2.8234105,0.013389951,7.0372553,7.522516,0.8513005,0.014850592,M5K,0.14850591999999999
343,row_6333,seed-21_sample-2_seed-177_sample-0,3.0401370525360107,0.34162313,0.34164742,0.46132886,6.266617,5.020194,0.3781954,0.45735785,0.37862402,8.235816,6.003204,1.7204055,6.0144434,5.8468947,1.7282336,2.7365963,0.010462343,1.8348665,1.7662323,0.92313707,0.0109888865,M5K,0.109888865
344,row_6333,seed-21_sample-2_seed-1001_sample-3,3.959754228591919,0.27306727,0.27309385,0.40055907,8.797437,8.988087,0.47401446,0.5380632,0.4748749,9.817961,9.817825,0.7133489,8.236071,8.077977,0.71415776,1.0567942,0.011696123,2.8367083,2.9218562,0.23502201,0.013483726,M5K,0.13483726
345,row_6333,seed-21_sample-2_seed-315_sample-4,1.0569090843200684,0.3414084,0.34153503,0.3889272,1.6439471,0.9321342,0.19886191,0.27674207,0.1991411,1.9629099,1.3725343,1.02379,2.2759933,2.3318472,1.0255778,1.5924377,0.0056756497,1.0559456,1.1549864,0.7288907,0.00645082,M5K,0.0645082
346,row_6333,seed-21_sample-2_seed-13_sample-1,3.675370931625366,0.4175743,0.41764176,0.5645414,9.894801,11.07617,0.38134128,0.48791423,0.38234365,9.794361,11.43862,1.4394538,7.5893064,7.391921,1.4416372,2.4716778,0.011019734,3.6097894,3.7857966,0.7257556,0.013452045,M5K,0.13452044999999999
347,row_6333,seed-21_sample-2_seed-1_sample-4,2.311117172241211,0.28930333,0.28932762,0.3877541,4.0274315,5.662437,0.25824973,0.3387072,0.25896695,3.6418836,5.2846017,1.288485,5.561228,5.5414414,1.2894337,2.1808228,0.0064120167,3.809949,3.9332879,0.61611295,0.022946404,M5K,0.22946404
